1919,1,4,18,20,25.88,41.70333,144.50317,0.15,5.2
1919,1,5,18,53,28.83,37.497,138.60017,0.04,nan
1919,1,11,1,59,50.21,35.2625,140.34183,0.39,4.0
1919,1,12,22,20,47.24,35.37283,137.88883,3.6,5.1
1919,1,23,0,44,35.02,29.2155,142.4925,1.29,4.6
1919,1,23,4,28,5.57,36.63533,140.8225,0.9,3.7
1919,1,24,12,26,0.05,35.87017,140.08833,41.34,4.7
1919,1,27,23,11,19.03,39.32283,142.61317,0.0,4.9
1919,1,31,20,19,58.44,37.2525,140.78117,0.48,4.6
1919,2,2,1,44,58.7,36.25817,139.60833,56.3,nan
1919,2,6,5,3,24.52,30.88717,141.72017,0.0,nan
1919,2,6,16,57,28.04,35.9385,140.706,31.2,nan
1919,2,9,1,38,41.41,36.904,141.55733,0.28,4.5
1919,2,9,3,34,30.09,37.49967,143.1765,4.1,5.0
1919,2,9,10,31,35.52,39.05967,139.07017,1.8,4.3
1919,2,9,21,45,37.31,30.03867,143.31517,0.44,nan
1919,2,12,11,27,34.02,35.73783,139.879,0.78,4.2
1919,2,15,7,5,5.91,35.59283,141.17967,0.17,4.4
1919,2,18,12,44,9.25,36.55917,141.10867,0.0,5.1
1919,2,19,9,34,50.75,35.98783,139.727,8.8,4.5
1919,2,22,11,0,55.37,36.236,141.85067,0.0,4.9
1919,2,22,19,59,58.81,36.03017,142.02683,0.25,4.8
1919,2,23,21,8,49.22,35.923,139.79667,0.75,nan
1919,2,25,10,18,27.2,36.9155,141.22633,0.6,4.1
1919,3,4,21,3,55.0,35.76783,140.31417,0.56,4.3
1919,3,6,8,30,8.16,36.27033,140.1635,0.65,nan
1919,3,7,6,12,55.17,36.00933,140.2965,7.0,nan
1919,3,8,4,56,6.87,40.27533,142.73967,0.4,5.0
1919,3,11,6,19,58.4,27.49967,126.54467,0.0,nan
1919,3,12,19,31,24.49,41.50533,144.25067,0.0,6.1
1919,3,13,22,14,15.78,36.40367,138.52617,0.0,3.9
1919,3,13,22,16,16.37,36.40367,138.52617,0.0,nan
1919,3,14,8,12,49.28,33.61833,131.66617,0.91,5.4
1919,3,14,12,35,18.07,36.33717,141.16283,0.43,nan
1919,3,23,23,11,43.04,40.78283,141.455,106.55,5.0
1919,3,26,22,35,28.46,31.64033,138.68983,3.48,5.6
1919,3,29,7,40,6.29,36.86233,138.29117,15.85,5.4
1919,3,29,8,48,4.31,35.172,140.05483,57.51,4.1
1919,3,30,13,6,21.19,36.6255,141.08483,3.8,nan
1919,4,1,17,51,25.49,34.29733,134.6705,0.05,4.7
1919,4,2,9,53,7.99,34.344,138.86217,0.0,4.6
1919,4,4,22,33,9.43,39.0395,142.21,0.0,5.1
1919,4,7,10,28,27.12,36.17617,140.20767,0.6,4.8
1919,4,11,0,21,51.81,36.44233,140.08567,0.78,3.5
1919,4,16,8,53,2.2,34.49967,139.7295,0.18,5.6
1919,4,16,17,52,18.79,35.85333,139.735,0.59,nan
1919,4,21,17,54,5.05,34.02817,135.30533,0.0,nan
1919,4,22,19,11,43.93,34.594,137.40367,0.0,4.7
1919,4,25,5,45,0.12,31.2485,131.837,4.5,nan
1919,4,25,21,22,51.14,32.54867,130.25283,0.02,5.6
1919,4,26,8,3,13.06,33.39,140.09567,0.1,5.7
1919,4,27,1,34,28.52,35.8445,140.12017,0.8,4.1
1919,4,28,18,39,55.31,35.515,136.99933,4.0,nan
1919,4,30,19,35,9.61,33.907,131.64833,0.0,nan
1919,5,1,12,16,25.68,36.53867,140.00883,1.05,3.3
1919,5,1,14,38,16.14,41.73733,142.72683,0.1,5.4
1919,5,1,23,1,18.21,34.90267,134.90083,0.07,nan
1919,5,2,5,49,45.7,31.89783,139.22333,3.98,5.2
1919,5,3,9,52,12.33,40.42083,144.44217,0.46,6.3
1919,5,5,3,30,32.01,33.82,141.03317,0.75,4.8
1919,5,8,4,38,10.45,40.92967,142.99617,0.0,5.4
1919,5,10,14,14,52.17,32.796,130.33517,0.0,5.3
1919,5,10,19,41,44.74,36.0125,140.324,0.4,nan
1919,5,14,21,0,11.89,33.61933,132.636,0.4,5.0
1919,5,16,20,47,7.45,37.38783,141.1425,0.53,5.7
1919,5,17,19,4,6.05,36.5445,141.4155,0.6,nan
1919,5,19,12,55,39.59,18.287,146.142,0.1,nan
1919,5,20,9,45,16.78,35.71233,140.15683,0.45,3.8
1919,5,23,21,40,12.64,35.87017,140.14883,0.74,4.6
1919,5,25,4,18,19.15,36.4215,140.46483,88.73,4.7
1919,6,1,8,34,14.43,36.33967,140.33783,51.21,4.9
1919,6,1,15,51,6.65,25.58983,122.9295,20.0,6.3
1919,6,2,3,36,0.32,35.90817,140.1695,0.73,nan
1919,6,2,7,5,49.37,37.5955,141.75867,0.47,nan
1919,6,2,12,42,33.17,38.14567,141.58933,0.5,4.4
1919,6,3,8,25,11.15,34.91917,137.52567,0.32,4.5
1919,6,3,21,3,55.44,36.39283,140.12133,1.09,3.6
1919,6,4,18,55,34.26,36.1075,140.79167,4.0,nan
1919,6,6,22,24,15.67,33.905,134.772,21.65,5.7
1919,6,7,9,44,22.1,35.93967,136.1725,0.0,4.2
1919,6,7,19,17,12.52,36.37617,141.34767,0.33,4.2
1919,6,9,7,11,25.72,36.9645,140.712,0.17,nan
1919,6,9,8,14,43.02,35.8305,140.50383,0.38,4.5
1919,6,9,10,11,16.5,36.1495,141.1385,4.0,nan
1919,6,10,9,45,4.76,41.1365,139.80483,0.2,nan
1919,6,12,22,15,7.69,36.1295,140.27133,7.0,4.8
